chn1,chn2,chn3,chn4,chn5,chn6,chn7,chn8
686,-31974,2,2113,-2203,12,0,0
917,-31911,-32754,1851,-2122,-32763,0,0
1188,893,-32752,-30952,-1717,-32753,0,0
1214,-31865,-32759,-30752,-1752,26,0,0
1037,1006,13,2282,30685,9,0,0
757,962,11,2170,31035,17,0,0
835,-31883,-32760,1781,31086,13,0,0
1185,786,-32764,2140,-1747,-32767,0,0
1191,827,17,-30341,30700,-32761,0,0
1028,814,24,-30710,-1807,6,0,0
734,-31896,11,2330,30687,5,0,0
693,874,8,-30547,31031,-32760,0,0
898,928,-32763,2195,31013,-32742,0,0
1157,-31807,8,2366,-2079,21,0,0
1354,-31885,12,2132,31035,9,0,0
1235,-31907,14,-30357,-1747,3,0,0
837,859,-32763,2266,-2063,18,0,0
683,-31912,10,-30632,31031,-32759,0,0
976,790,23,-30412,31089,-32761,0,0
1232,818,-32745,1955,-1678,7,0,0
1177,-31878,16,-30683,31096,8,0,0
905,-31816,-32756,2465,-1677,7,0,0
661,949,7,-30573,-1681,4,0,0
832,948,5,2052,-1680,-32761,0,0
1142,1024,10,1996,-1679,4,0,0
1323,-31714,27,2180,-1672,-32761,0,0
1143,891,-32746,2025,-1666,9,0,0
851,-31880,-32758,1647,31093,17,0,0
749,-31843,9,1792,-1680,15,0,0
633,-31848,-32762,-30619,31098,10,0,0
633,-31894,18,2007,31093,-32761,0,0
877,883,14,-30347,-1675,-32760,0,0
1198,-31840,18,2188,31100,-32758,0,0
1309,-31817,19,1741,31098,2,0,0
1150,-31846,17,-30864,-1678,32767,0,0
817,-31831,-32753,1873,-1761,-1,0,0
808,910,-32758,-30643,-2070,-32763,0,0
1019,824,-32753,2073,31044,-32759,0,0
1246,857,13,-30627,-1667,-32751,0,0
1197,797,3,-30772,31097,-32752,0,0
1127,781,-32754,-30843,-1675,9,0,0
718,896,-32754,-30697,31098,7,0,0
701,915,13,-31088,-1675,17,0,0
938,930,12,-30934,-1677,14,0,0
1142,-31858,17,2072,31021,-32748,0,0
1225,-31849,16,1713,-2079,21,0,0
1170,847,15,1830,31039,15,0,0
863,-31929,22,1623,31098,11,0,0
754,926,-32738,1894,31097,-32757,0,0
1046,892,-32736,1759,-1667,-32756,0,0
1255,939,32,1791,-1663,-32763,0,0
1319,-31887,30,-30763,31022,9,0,0
1099,927,-32741,1807,30694,-32765,0,0
703,-31841,-32743,1881,31045,3,0,0
705,-31762,-32755,1912,31105,3,0,0
1019,-31832,-32743,1889,31108,3,0,0
1262,-31853,-32750,1855,31096,-32762,0,0
1295,-31838,-32759,-30693,-1667,-32759,0,0
933,936,7,2075,-1674,-32751,0,0
683,-31845,-32758,2131,-1677,-32758,0,0
909,853,21,-30640,31095,0,0,0
1145,-31918,12,2302,31094,32767,0,0
1182,-31893,-32750,-31001,-1755,9,0,0
1087,-31830,-32741,1796,-2146,6,0,0
726,-31831,-32740,-30639,30559,-32768,0,0
761,-31873,33,2017,-2137,2,0,0
1092,904,-32727,-30883,31043,6,0,0
1280,950,-32751,1903,-1659,6,0,0
1171,-31850,-32751,2094,31097,4,0,0
